id	name	class
!!a	a	MagicKnight	No
awfultantruma	Awful Tantrum	Monster	A
awfultantrumb	Awful Tantrum	Monster	B
awfultantrumplus	Awful Tantrum	Monster	No
awfultantrumplusa	Awful Tantrum	Monster	A
awfultantrumplusb	Awful Tantrum	Monster	B
axesweep	Axe Sweep	Monster	No
axesweepa	Axe Sweep	Monster	A
barbercuts	Barber Cuts	Monster	No
barbercutsa	Barber Cuts	Monster	A
barkskin	Barkskin	Monster	No
barkskina	Barkskin	Monster	A
barkskinb	Barkskin	Monster	B
barkskinplus	Barkskin	Monster	No
barkskinplusa	Barkskin	Monster	A
barkskinplusb	Barkskin	Monster	B
bigboom	Big Boom	Monster	No
blazingstrike	Blazing Strike	Monster	No
blazingstrikea	Blazing Strike	Monster	A
blazingstrikeb	Blazing Strike	Monster	B
blazingstrikeplus	Blazing Strike	Monster	No
bloodycleave	Bloody Cleave	Monster	No
bloodycleavea	Bloody Cleave	Monster	A
bloodycleaveb	Bloody Cleave	Monster	B
blossom	Blossom	Monster	No
blossoma	Blossom	Monster	A
blossomb	Blossom	Monster	B
blowup	Blow Up!	Monster	No
blowupa	Blow Up!	Monster	A
blowupb	Blow Up!	Monster	B
bouncyembers	Bouncy Embers	Monster	No
bouncyembersa	Bouncy Embers	Monster	A
bouncyembersb	Bouncy Embers	Monster	B
bouncyembersplus	Bouncy Embers	Monster	No
bouncyembersplusa	Bouncy Embers	Monster	A
brand	Brand	Monster	No
branda	Brand	Monster	A
brandb	Brand	Monster	B
brandplus	Brand	Monster	No
brandplusa	Brand	Monster	A
brandplusb	Brand	Monster	B
bristlyfur	Bristly Fur	Monster	No
bristlyfura	Bristly Fur	Monster	A
bristlyfurb	Bristly Fur	Monster	B
bulletshot	Bullet Shot	Monster	No
bulletshota	Bullet Shot	Monster	A
burningjavelin	Burning Javelin	Monster	No
burningjavelina	Burning Javelin	Monster	A
burningjavelinb	Burning Javelin	Monster	B
chop	Chop	Monster	No
clone	Healthy Clone	Monster	No
clonea	Healthy Clone	Monster	A
concussiveshot	Concussive Shot	Monster	No
concussiveshota	Concussive Shot	Monster	A
crashlightning	Crash Lightning	Monster	No
crashlightninga	Crash Lightning	Monster	A
crashlightningb	Crash Lightning	Monster	B
crashlightningm	Crash Lightning	Monster	No
crashlightningma	Crash Lightning	Monster	A
crashlightningmb	Crash Lightning	Monster	B
darkoutburst	Dark Outburst	Monster	No
darkoutbursta	Dark Outburst	Monster	A
darkoutburstb	Dark Outburst	Monster	B
deeppuff	Deep Puff	Monster	No
deeppuffa	Deep Puff	Monster	A
deeppuffb	Deep Puff	Monster	B
deeproots	Deep Roots	Monster	No
defectivesummon	Defective Summon	Monster	No
deliciousscent	Delicious Scent	Monster	No
deliciousscenta	Delicious Scent	Monster	A
dinnerisready	Dinner is Ready!	Monster	No
dinnerisreadya	Dinner is Ready!	Monster	A
dinnerisreadyb	Dinner is Ready!	Monster	B
dinnerisreadyplus	Dinner is Ready!	Monster	No
dinnerisreadyplusa	Dinner is Ready!	Monster	A
dinnerisreadyplusb	Dinner is Ready!	Monster	B
doublechop	Double Chop	Monster	No
doublechopa	Double Chop	Monster	A
doublechopb	Double Chop	Monster	B
eardestroyer	Ear Destroyer	Monster	No
eardestroyera	Ear Destroyer	Monster	A
earthwave	Earthwave	Monster	No
earthwavea	Earthwave	Monster	A
earthwaveb	Earthwave	Monster	B
earthwaveplus	Earthwave	Monster	No
embersofdefense	Embers of Defense	Monster	No
embersofdefensea	Embers of Defense	Monster	A
embersofpower	Embers of Power	Monster	No
embersofpowera	Embers of Power	Monster	A
embersofspeed	Embers of Speed	Monster	No
embersofspeeda	Embers of Speed	Monster	A
entanglingroots	Entangling Roots	Monster	No
entanglingrootsa	Entangling Roots	Monster	A
entanglingrootsb	Entangling Roots	Monster	B
entanglingrootseasy	Entangling Roots	Monster	No
entanglingrootseasya	Entangling Roots	Monster	A
fieryjabs	Fiery Jabs	Monster	No
fieryjabsa	Fiery Jabs	Monster	A
fieryjabsb	Fiery Jabs	Monster	B
fieryjabsplus	Fiery Jabs	Monster	No
fieryjabsplusa	Fiery Jabs	Monster	A
fieryjabsplusb	Fiery Jabs	Monster	B
fierynova	Fiery Nova	Monster	No
fierynovaa	Fiery Nova	Monster	A
fierynovab	Fiery Nova	Monster	B
fierynovam	Fiery Nova	Monster	No
fierynovama	Fiery Nova	Monster	A
firebrand	Fire Brand	Monster	No
firebranda	Fire Brand	Monster	A
firebrandb	Fire Brand	Monster	B
fireember	Fire Ember	Monster	No
fireembera	Fire Ember	Monster	A
fireemberb	Fire Ember	Monster	B
fireemberm	Fire Ember	Monster	No
fireemberplus	Fire Ember	Monster	No
flameball	Fireball	Monster	No
flameballa	Fireball	Monster	A
flameballb	Fireball	Monster	B
flameballbelphplus	Fireball	Monster	No
flamedancer	Flame Dancer	Monster	No
flamedancera	Flame Dancer	Monster	A
flamedancerb	Flame Dancer	Monster	B
flamehoarding	Flame Hoarding	Monster	No
flamestorm	Flame Storm	Monster	No
flamestorma	Flame Storm	Monster	A
flamestormb	Flame Storm	Monster	B
flowershuriken	Flower Shuriken	Monster	No
flowershurikena	Flower Shuriken	Monster	A
flowershurikenb	Flower Shuriken	Monster	B
flowerstream	Flower Stream	Monster	No
flowerstreama	Flower Stream	Monster	A
frenziedtermites	Frenzied Termites	Monster	No
frenziedtermitesa	Frenzied Termites	Monster	A
frenziedtermitesb	Frenzied Termites	Monster	B
frenziedtermitespet	Frenzied Termites	Monster	No
frenziedtermitesplus	Frenzied Termites	Monster	No
freshmeat	Fresh Meat!	Monster	No
freshmeata	Fresh Meat!	Monster	A
freshmeatb	Fresh Meat!	Monster	B
furiousylmer	Furious Ylmer	Monster	No
furiousylmera	Furious Ylmer	Monster	A
gunshot	Gunshot	Monster	No
harshcauterization	Harsh Cauterization	Monster	No
harshcauterizationa	Harsh Cauterization	Monster	A
harshcauterizationb	Harsh Cauterization	Monster	B
harvest	Harvest	Monster	No
harvesta	Harvest	Monster	A
harvestb	Harvest	Monster	B
healingtotem	Healing Totem	Monster	No
healingtotema	Healing Totem	Monster	A
healingtotemb	Healing Totem	Monster	B
healingtotemm	Healing Totem	Monster	No
healingtotemma	Healing Totem	Monster	A
heatshield	Heater Shield	Monster	No
heatshielda	Heater Shield	Monster	A
heatshieldb	Heater Shield	Monster	B
hightide	High Tide	Monster	No
hightidea	High Tide	Monster	A
hightideb	High Tide	Monster	B
hurryup	Hurry Up	Monster	No
hurryupa	Hurry Up	Monster	A
hurryupb	Hurry Up	Monster	B
impalingroot	Impaling Root	Monster	No
impalingroota	Impaling Root	Monster	A
impalingrootb	Impaling Root	Monster	B
kindle	Kindle	Monster	No
kindlea	Kindle	Monster	A
kindleb	Kindle	Monster	B
kindlem	Kindle	Monster	No
kindlema	Kindle	Monster	A
kindlemb	Kindle	Monster	B
leafclaw	Leaf Claw	Monster	No
leafclawa	Leaf Claw	Monster	A
leafclawplus	Leaf Claw	Monster	No
leafclawplusa	Leaf Claw	Monster	A
letthefeastbegin	Let the Feast Begin!	Monster	No
lifebloom	Lifebloom	Monster	No
lifeblooma	Lifebloom	Monster	A
lifebloomb	Lifebloom	Monster	B
lifebloomplus	Lifebloom	Monster	No
lifebloomplusa	Lifebloom	Monster	A
lifebloomplusb	Lifebloom	Monster	B
marktheprey	Mark the Prey	Monster	No
markthepreya	Mark the Prey	Monster	A
markthepreyb	Mark the Prey	Monster	B
moonbeam	Moon Beam	Monster	No
moonbeama	Moon Beam	Monster	A
moonbeamb	Moon Beam	Monster	B
mooncatalyst	Moon Catalyst	Monster	No
mooncatalysta	Moon Catalyst	Monster	A
mooncatalystb	Moon Catalyst	Monster	B
moonfire	Moonfire	Monster	No
moonfirea	Moonfire	Monster	A
moonfireb	Moonfire	Monster	B
moonfirepet	Moonfire	Monster	No
moonfireplus	Moonfire	Monster	No
moonfireplusa	Moonfire	Monster	A
moonfireplusb	Moonfire	Monster	B
moonguard	Moon Guard	Monster	No
moonguarda	Moon Guard	Monster	A
moonguardb	Moon Guard	Monster	B
moonguardplus	Moon Guard	Monster	No
moonguardplusa	Moon Guard	Monster	A
naturescall	Nature's Call	Monster	No
naturescalla	Nature's Call	Monster	A
naturescallb	Nature's Call	Monster	B
naturescallplus	Nature's Call	Monster	No
naturescallplusa	Nature's Call	Monster	A
naturescallplusb	Nature's Call	Monster	B
overgrowth	Overgrowth	Monster	No
overgrowtha	Overgrowth	Monster	A
overgrowthb	Overgrowth	Monster	B
overgrowthplus	Overgrowth	Monster	No
overgrowthplusa	Overgrowth	Monster	A
overgrowthplusb	Overgrowth	Monster	B
petcall	Pet Call	Monster	No
petcalla	Pet Call	Monster	A
petcallb	Pet Call	Monster	B
petcallplus	Pet Call	Monster	No
petcallplusa	Pet Call	Monster	A
petcallplusb	Pet Call	Monster	B
petcallrondo	Pet Call	Monster	No
petcallrondoplus	Pet Call	Monster	No
popcornburst	Popcorn Burst	Monster	No
popcornbursta	Popcorn Burst	Monster	A
popcornburstb	Popcorn Burst	Monster	B
popcornburstm	Popcorn Burst	Monster	No
pound	Pound	Monster	No
pounda	Pound	Monster	A
poundb	Pound	Monster	B
purgingwinds	Purging Winds	Monster	No
purgingwindsa	Purging Winds	Monster	A
purgingwindsb	Purging Winds	Monster	B
rabid	Rabid	Monster	No
rabida	Rabid	Monster	A
rabidb	Rabid	Monster	B
rabidplus	Rabid	Monster	No
rabidplusa	Rabid	Monster	A
rabidplusb	Rabid	Monster	B
rainofthorns	Rain of Thorns	Monster	No
rainofthornsa	Rain of Thorns	Monster	A
rainofthornsb	Rain of Thorns	Monster	B
ruminantbite	Ruminant Bite	Monster	No
ruminantbitea	Ruminant Bite	Monster	A
ruminantbiteb	Ruminant Bite	Monster	B
sadtantrum	Sad Tantrum	Monster	No
sadtantruma	Sad Tantrum	Monster	A
scattershot	Scattershot	Monster	No
scattershota	Scattershot	Monster	A
shadowwolf	Shadow Wolf	Monster	No
shadowwolfa	Shadow Wolf	Monster	A
shamanism	Shamanism	Monster	No
shamanisma	Shamanism	Monster	A
shamanismb	Shamanism	Monster	B
shear	Shear	Monster	No
sheara	Shear	Monster	A
sickleslash	Sickle Slash	Monster	No
sickleslasha	Sickle Slash	Monster	A
sickleslashb	Sickle Slash	Monster	B
sliceanddice	Slice and Dice!	Monster	No
sliceanddicea	Slice and Dice!	Monster	A
sliceanddiceb	Slice and Dice!	Monster	B
smellblood	Smell Blood	Monster	No
smellblooda	Smell Blood	Monster	A
smellbloodb	Smell Blood	Monster	B
smellbloodplus	Smell Blood	Monster	No
sprout	Sprout	Monster	No
sprouta	Sprout	Monster	A
sproutb	Sprout	Monster	B
stalking	Stalking	Monster	No
stalkinga	Stalking	Monster	A
stalkingb	Stalking	Monster	B
starfall	Starfall	Monster	No
starfalla	Starfall	Monster	A
starfallb	Starfall	Monster	B
starfallpet	Starfall	Monster	No
starfallplus	Starfall	Monster	No
starfallplusa	Starfall	Monster	A
starfallplusb	Starfall	Monster	B
stressfulfumes	Stressful Fumes	Monster	No
stressfulfumesa	Stressful Fumes	Monster	A
stressfulfumesb	Stressful Fumes	Monster	B
summonimp	Summon Imp	Monster	No
summonimpa	Summon Imp	Monster	A
summonimpb	Summon Imp	Monster	B
summonimpeasy	Summon Imp	Monster	No
summonimpeasya	Summon Imp	Monster	A
summonimpplus	Summon Imp	Monster	No
summonimpplusa	Summon Imp	Monster	A
summonimpplusb	Summon Imp	Monster	B
summonwick	Summon Wick	Monster	No
summonwicka	Summon Wick	Monster	A
sweepingstrikem	Sweeping Strike	Monster	No
sweepingstrikema	Sweeping Strike	Monster	A
sweepingstrikemb	Sweeping Strike	Monster	B
takingaim	Taking Aim	Monster	No
takingaima	Taking Aim	Monster	A
tantrum	Tantrum	Monster	No
tantruma	Tantrum	Monster	A
tantrumb	Tantrum	Monster	B
terrorizinghowl	Terrorizing Howl	Monster	No
terrorizinghowla	Terrorizing Howl	Monster	A
terrorizinghowlb	Terrorizing Howl	Monster	B
terrorizinghowlplus	Terrorizing Howl	Monster	No
timon	Timon	Monster	No
timona	Timon	Monster	A
torching	Torching	Monster	No
torchinga	Torching	Monster	A
torchingb	Torching	Monster	B
tranquility	Tranquility	Monster	No
tranquilitya	Tranquility	Monster	A
tranquilityb	Tranquility	Monster	B
tranquilityplus	Tranquility	Monster	No
tranquilityplusa	Tranquility	Monster	A
tranquilityplusb	Tranquility	Monster	B
tuskbarrage	Tusk Barrage	Monster	No
tuskbarragea	Tusk Barrage	Monster	A
tuskbarrageb	Tusk Barrage	Monster	B
tuskbarrageplus	Tusk Barrage	Monster	No
tuskbarrageplusa	Tusk Barrage	Monster	A
tuskcharge	Tusk Charge	Monster	No
tuskchargea	Tusk Charge	Monster	A
tuskchargeb	Tusk Charge	Monster	B
tuskchargeplus	Tusk Charge	Monster	No
tuskchargeplusa	Tusk Charge	Monster	A
unleashed	Unleashed	Monster	No
unleasheda	Unleashed	Monster	A
unleashedb	Unleashed	Monster	B
unleashedm	Unleashed	Monster	No
unleashedma	Unleashed	Monster	A
viciousbite	Vicious Bite	Monster	No
viciousbitea	Vicious Bite	Monster	A
viciousbiteb	Vicious Bite	Monster	B
volatileunsummoning	Volatile Unsummoning	Monster	No
watering	Watering	Monster	No
wateringa	Watering	Monster	A
wateringb	Watering	Monster	B
watersrpay	Water Spray	Monster	No
watersrpaya	Water Spray	Monster	A
watersrpayb	Water Spray	Monster	A
whack	Whack	Monster	No
whacka	Whack	Monster	A
whackb	Whack	Monster	B
woollyshell	Woolly Shell	Monster	No
woollyshella	Woolly Shell	Monster	A
woollyshellb	Woolly Shell	Monster	B
woollyshellplus	Woolly Shell	Monster	No
woollyshellplusa	Woolly Shell	Monster	A
curseofelementsm	Curse of Elements	Monster	No
curseofelementsma	Curse of Elements	Monster	A
curseofelementsmb	Curse of Elements	Monster	B
darkgag	Dark Gag	Monster	No
darkgaga	Dark Gag	Monster	A
darkgagb	Dark Gag	Monster	B
demandobedience	Demand Obedience	Monster	No
demandobediencea	Demand Obedience	Monster	A
demandobedienceb	Demand Obedience	Monster	B
dreadfulwave	Dreadful Wave	Monster	No
dreadfulwavea	Dreadful Wave	Monster	A
dreadfulwaveb	Dreadful Wave	Monster	B
icyblow	Icy Blow	Monster	No
icyblowa	Icy Blow	Monster	A
icyblowb	Icy Blow	Monster	B
intimidatem	Intimidate	Monster	No
intimidatema	Intimidate	Monster	A
intimidatemb	Intimidate	Monster	B
plumbing	Plumbing	Monster	No
plumbinga	Plumbing	Monster	A
plumbingb	Plumbing	Monster	B
puncturem	Puncture	Monster	No
puncturema	Puncture	Monster	A
puncturemb	Puncture	Monster	B
ringsofpower	Rings of Power	Monster	No
ringsofpowera	Rings of Power	Monster	A
royalram	Royal Ram	Monster	No
royalrama	Royal Ram	Monster	A
royalramb	Royal Ram	Monster	B
shadowmendm	Shadow Mend	Monster	No
shadowmendma	Shadow Mend	Monster	A
shadowmendmb	Shadow Mend	Monster	B
shadowstepm	Shadowstep	Monster	No
shadowstepma	Shadowstep	Monster	A
shadowstepmb	Shadowstep	Monster	B
skewering	Skewering	Monster	No
skeweringa	Skewering	Monster	A
skeweringb	Skewering	Monster	B
slaverats	Slave Rats	Monster	No
slaveratsa	Slave Rats	Monster	A
slaveratsb	Slave Rats	Monster	B
spreadcorruption	Spread Corruption	Monster	No
spreadcorruptiona	Spread Corruption	Monster	A
spreadcorruptionb	Spread Corruption	Monster	B
steamroller	Steamroller	Monster	No
steamrollera	Steamroller	Monster	A
steamrollerb	Steamroller	Monster	B
acidbreath	Acid Breath	Monster	No
acidbreatha	Acid Breath	Monster	A
acidbreathb	Acid Breath	Monster	B
acidspit	Acid Spit	Monster	No
acidspita	Acid Spit	Monster	A
acidspitb	Acid Spit	Monster	B
anklebite	Ankle Bite	Monster	No
anklebitea	Ankle Bite	Monster	A
anklebiteb	Ankle Bite	Monster	B
architectssoul	Architect's Soul	Monster	No
architectssoula	Architect's Soul	Monster	A
architectssoulb	Architect's Soul	Monster	B
ardentchampion	Ardent Champion	Monster	No
ardentchampiona	Ardent Champion	Monster	A
ardentchampionb	Ardent Champion	Monster	B
backbone	Backbone	Monster	No
backbonea	Backbone	Monster	A
backboneb	Backbone	Monster	B
backbonem	Backbone	Monster	No
backbonema	Backbone	Monster	A
bloodrainm	Blood Rain	Monster	No
bloodrainma	Blood Rain	Monster	A
bloodrainmb	Blood Rain	Monster	B
boneguard	Bone Guard	Monster	No
boneguarda	Bone Guard	Monster	A
boneguardb	Bone Guard	Monster	B
bowling	Bowling	Monster	No
bowlinga	Bowling	Monster	A
bowlingb	Bowling	Monster	B
castling	Castling	Monster	No
castlinga	Castling	Monster	A
castlingb	Castling	Monster	B
coldnova	Cold Nova	Monster	No
coldnovaa	Cold Nova	Monster	A
coldnovaally	Cold Nova	Monster	No
coldnovab	Cold Nova	Monster	B
collectwaste	Collect Waste	Monster	No
collectwastea	Collect Waste	Monster	A
collectwasteb	Collect Waste	Monster	B
crumble	Crumble	Monster	No
crystallize	Crystallize	Monster	No
cursedbandages	Cursed Bandages	Monster	No
cursedbandagesa	Cursed Bandages	Monster	A
cursedbandagesb	Cursed Bandages	Monster	B
curseoffragilitym	Curse of Fragility	Monster	No
curseoffragilityma	Curse of Fragility	Monster	A
curseoffragilitymb	Curse of Fragility	Monster	B
curseofshadowsm	Curse of Shadows	Monster	No
curseofshadowsma	Curse of Shadows	Monster	A
curseofshadowsmb	Curse of Shadows	Monster	B
darkblight	Dark Blight	Monster	No
darkblighta	Dark Blight	Monster	A
darkblightb	Dark Blight	Monster	B
darknessfallsm	Darkness Falls	Monster	No
darknessfallsma	Darkness Falls	Monster	A
darknessfallsmb	Darkness Falls	Monster	B
darkomen	Dark Omen	Monster	No
darkomena	Dark Omen	Monster	A
darkomenb	Dark Omen	Monster	B
darkoutbreakm	Dark Outbreak	Monster	No
darkoutbreakma	Dark Outbreak	Monster	A
darkoutbreakmb	Dark Outbreak	Monster	B
darktorment	Dark Torment	Monster	No
desertwhirlwind	Desert Whirlwind	Monster	No
desertwhirlwinda	Desert Whirlwind	Monster	A
desertwhirlwindb	Desert Whirlwind	Monster	B
deviantzealotry	Deviant Zealotry	Monster	No
deviantzealotrya	Deviant Zealotry	Monster	A
deviantzealotryb	Deviant Zealotry	Monster	B
divinejustice	Divine Justice	Monster	No
divinejusticea	Divine Justice	Monster	A
divinejusticeb	Divine Justice	Monster	B
divineordeal	Divine Ordeal	Monster	No
divineordeala	Divine Ordeal	Monster	A
divineordealb	Divine Ordeal	Monster	B
divinepardon	Divine Pardon	Monster	No
divineshield	Divine Shield	Monster	No
divineshielda	Divine Shield	Monster	A
divineshieldb	Divine Shield	Monster	B
divinesmite	Divine Smite	Monster	No
divinesmitea	Divine Smite	Monster	A
divinesmiteb	Divine Smite	Monster	B
doubleslashm	Double Slash	Monster	No
doubleslashma	Double Slash	Monster	A
doubleslashmb	Double Slash	Monster	B
dreadslash	Dread Slash	Monster	No
dreadslasha	Dread Slash	Monster	A
dreadslashb	Dread Slash	Monster	B
dungtoss	Dung Toss	Monster	No
dungtossa	Dung Toss	Monster	A
dungtossb	Dung Toss	Monster	B
dustdevil	Dust Devil	Monster	No
dustdevila	Dust Devil	Monster	A
dustdevilb	Dust Devil	Monster	A
escapecrystal	Fly Away	Monster	No
escapegold	Fly Away	Monster	No
escapejade	Fly Away	Monster	No
escapescourge	Fly Away	Monster	No
eternalrecall	Eternal Recall	Monster	No
eternalrecalla	Eternal Recall	Monster	A
eternalrecallb	Eternal Recall	Monster	B
fearlessness	Fearlessness	Monster	No
fearlessnessa	Fearlessness	Monster	A
fearlessnessally	Fearlessness	Monster	No
fearlessnessb	Fearlessness	Monster	B
fervency	Fervency	Monster	No
fervencya	Fervency	Monster	A
fervencyally	Fervency	Monster	No
fervencyb	Fervency	Monster	B
ferventprotection	Fervent Protection	Monster	No
ferventprotectiona	Fervent Protection	Monster	A
ferventprotectionb	Fervent Protection	Monster	B
forbiddenpower	Forbidden Power	Monster	No
forbiddenpowera	Forbidden Power	Monster	A
forbiddenpowerb	Forbidden Power	Monster	B
gloom	Gloom	Monster	No
glooma	Gloom	Monster	A
gloomb	Gloom	Monster	B
graspheart	Grasp Heart	Monster	No
grasphearta	Grasp Heart	Monster	A
graspheartb	Grasp Heart	Monster	A
hammerofjustice	Hammer of Justice	Monster	No
hammerofjusticea	Hammer of Justice	Monster	A
hammerofjusticeb	Hammer of Justice	Monster	B
hardshell	Hard Shell	Monster	No
hardshella	Hard Shell	Monster	A
hardshellb	Hard Shell	Monster	B
hitandrunm	Hit and Run	Monster	No
hitandrunma	Hit and Run	Monster	A
hitandrunmb	Hit and Run	Monster	B
holynovam	Holy Nova	Monster	No
holynovama	Holy Nova	Monster	A
holynovamally	Holy Nova	Monster	No
holynovamb	Holy Nova	Monster	B
holyrush	Holy Rush	Monster	No
holyrusha	Holy Rush	Monster	A
holyrushb	Holy Rush	Monster	B
holysmitemc	Holy Smite	Monster	No
holysmitemca	Holy Smite	Monster	A
holysmitemcb	Holy Smite	Monster	B
immortal	Immortal	Monster	No
impiousburst	Impious Burst	Monster	No
impiousbursta	Impious Burst	Monster	A
impiousburstb	Impious Burst	Monster	B
irritatingbark	Irritating Bark	Monster	No
irritatingbarka	Irritating Bark	Monster	A
irritatingbarkb	Irritating Bark	Monster	B
lichstouch	Lich's Touch	Monster	No
lichstoucha	Lich's Touch	Monster	A
lichstouchb	Lich's Touch	Monster	B
marktarget	Mark Target	Monster	No
marktargeta	Mark Target	Monster	A
marktargetb	Mark Target	Monster	B
obfuscate	Obfuscate	Monster	No
obfuscatea	Obfuscate	Monster	A
obfuscateb	Obfuscate	Monster	B
obscurestrike	Obscure Strike	Monster	No
obscurestrikea	Obscure Strike	Monster	A
obscurestrikeb	Obscure Strike	Monster	B
plagueshotm	Plague Shot	Monster	No
plagueshotma	Plague Shot	Monster	A
plagueshotmb	Plague Shot	Monster	B
poisonousshotm	Poisonous Shot	Monster	No
poisonousshotma	Poisonous Shot	Monster	A
poisonousshotmb	Poisonous Shot	Monster	B
prismaticfieldmally	Prismatic Field	Monster	No
raisefighter	Raise Fighter	Monster	No
raisefightera	Raise Fighter	Monster	A
raisefighterb	Raise Fighter	Monster	B
raisefighterm	Raise Fighter	Monster	No
raisefighters	Raise Fighters	Monster	No
raisefightersa	Raise Fighters	Monster	A
raisefightersb	Raise Fighters	Monster	B
raisefightersm	Raise Fighters	Monster	No
raisemages	Raise Mages	Monster	No
raisemagesa	Raise Mages	Monster	A
raisemagesb	Raise Mages	Monster	B
raisepriests	Raise Priests	Monster	No
raisepriestsa	Raise Priests	Monster	A
raisepriestsb	Raise Priests	Monster	B
raisewarlocks	Raise Warlocks	Monster	No
raisewarlocksa	Raise Warlocks	Monster	A
raisewarlocksb	Raise Warlocks	Monster	B
reaping	Reaping	Monster	No
reapinga	Reaping	Monster	A
reapingb	Reaping	Monster	B
righteousfire	Righteous Fire	Monster	No
righteousfirea	Righteous Fire	Monster	A
righteousfireb	Righteous Fire	Monster	B
rigidstance	Rigid Stance	Monster	No
rigidstancea	Rigid Stance	Monster	A
rigidstanceb	Rigid Stance	Monster	B
ruggedwrapping	Rugged Wrapping	Monster	No
ruggedwrappinga	Rugged Wrapping	Monster	A
ruggedwrappingb	Rugged Wrapping	Monster	B
sacredbeam	Sacred Beam	Monster	No
sacredbeama	Sacred Beam	Monster	A
sacredbeamb	Sacred Beam	Monster	B
sacredblow	Sacred Blow	Monster	No
sacredblowa	Sacred Blow	Monster	A
sacredblowb	Sacred Blow	Monster	B
sacredboltm	Sacred Bolt	Monster	No
sacredboltma	Sacred Bolt	Monster	A
sacredboltmb	Sacred Bolt	Monster	B
sacredlightningm	Sacred Lightning	Monster	No
sacredlightningma	Sacred Lightning	Monster	A
sacredlightningmb	Sacred Lightning	Monster	B
sandstorm	Sand Storm	Monster	No
sandstorma	Sand Storm	Monster	A
sandstormb	Sand Storm	Monster	B
sandtornado	Sand Tornado	Monster	No
sandtornadoa	Sand Tornado	Monster	A
sandtornadob	Sand Tornado	Monster	B
scourgebarrier	Scourge Barrier	Monster	No
scourgebarriera	Scourge Barrier	Monster	A
scourgebarrierb	Scourge Barrier	Monster	B
scourgeblast	Scourge Blast	Monster	No
scourgeblasta	Scourge Blast	Monster	A
scourgeblastb	Scourge Blast	Monster	B
shadowboltm	Shadow Bolt	Monster	No
shadowboltma	Shadow Bolt	Monster	A
shadowboltmb	Shadow Bolt	Monster	B
shadownova	Shadow Nova	Monster	No
shadownovaa	Shadow Nova	Monster	A
shadownovaally	Shadow Nova	Monster	No
shadownovab	Shadow Nova	Monster	B
sharpenmw	Sharpen	Monster	No
sharpenmwa	Sharpen	Monster	A
sharpenmwb	Sharpen	Monster	B
smokebombmm	Smoke Bomb	Monster	No
steal	Steal	Monster	No
steala	Steal	Monster	A
stealb	Steal	Monster	B
tabularasabas	Tabula Rasa	Monster	No
tabularasabasa	Tabula Rasa	Monster	A
tabularasabasb	Tabula Rasa	Monster	A
torment	Torment	Monster	No
tormenta	Torment	Monster	A
toxicvolley	Toxic Volley	Monster	No
toxicvolleya	Toxic Volley	Monster	A
toxicvolleyb	Toxic Volley	Monster	B
tremor	Tremor	Monster	No
tremora	Tremor	Monster	A
tremorb	Tremor	Monster	B
vitalizem	Vitalize	Monster	No
vitalizema	Vitalize	Monster	A
vitalizemb	Vitalize	Monster	B
warriormemory	Warrior Memory	Monster	No
warriormemorya	Warrior Memory	Monster	A
warriormemoryb	Warrior Memory	Monster	B
zealbarrier	Zeal Barrier	Monster	No
zealbarriera	Zeal Barrier	Monster	A
zealbarrierb	Zeal Barrier	Monster	B
zealousprayer	Zealous Prayer	Monster	No
zealousprayera	Zealous Prayer	Monster	A
zealousprayerb	Zealous Prayer	Monster	B
aftershock	Aftershock	Monster	No
aftershocka	Aftershock	Monster	A
aftershockb	Aftershock	Monster	B
aimedshotm	Aimed Shot	Monster	No
aimedshotma	Aimed Shot	Monster	A
aimedshotmb	Aimed Shot	Monster	B
aimedshotmeasy	Aimed Shot	Monster	No
ardentguard	Ardent Guard	Monster	No
ardentguarda	Ardent Guard	Monster	A
ardentguardb	Ardent Guard	Monster	B
ash	Ash	Monster	No
asha	Ash	Monster	A
ashb	Ash	Monster	B
ashrare	Ash	Monster	Rare
ashstorm	Ash Storm	Monster	No
ashstorma	Ash Storm	Monster	A
ashstormb	Ash Storm	Monster	B
ashstormplus	Ash Storm	Monster	No
ashstormplusa	Ash Storm	Monster	A
ashstormplusb	Ash Storm	Monster	B
bandaid	Band-Aid	Monster	No
bandaida	Band-Aid	Monster	A
bandaidb	Band-Aid	Monster	B
bandaidm	Band-Aid	Monster	No
bandaidma	Band-Aid	Monster	A
bandaidmb	Band-Aid	Monster	B
bladerush	Blade Rush	Monster	No
bladerusha	Blade Rush	Monster	A
bladerushb	Blade Rush	Monster	B
blazingnova	Blazing Nova	Monster	No
blazingnovaa	Blazing Nova	Monster	A
blazingnovab	Blazing Nova	Monster	B
blazingslash	Blazing Slash	Monster	No
blazingslasha	Blazing Slash	Monster	A
blazingslashb	Blazing Slash	Monster	B
bomb	Bomb	Monster	No
bomba	Bomb	Monster	A
bombard	Bombard	Monster	No
bombarda	Bombard	Monster	A
bombardb	Bombard	Monster	B
bombb	Bomb	Monster	B
bombm	Bomb	Monster	No
bombma	Bomb	Monster	A
bombmb	Bomb	Monster	B
bombmrare	Bomb	Monster	Rare
boulderthrow	Boulder Throw	Monster	No
boulderthrowa	Boulder Throw	Monster	A
boulderthrowb	Boulder Throw	Monster	B
burningcore	Burning Core	Monster	No
burningcorea	Burning Core	Monster	A
burningcoreb	Burning Core	Monster	B
burningjaveline	Burning Javelin	Monster	No
burningjavelinea	Burning Javelin	Monster	A
